"表章項目","世帯区分","地域区分","時間軸（月次）","/品目分類（2020年改定）","353 チョコレート菓子【円】","356 アイスクリーム・シャーベット【円】"
"金額","二人以上の世帯（2000年～）","全国","2018年8月","","99","1443"
"金額","二人以上の世帯（2000年～）","全国","2018年9月","","122","861"
"金額","二人以上の世帯（2000年～）","全国","2018年10月","","147","640"
"金額","二人以上の世帯（2000年～）","全国","2018年11月","","154","492"
"金額","二人以上の世帯（2000年～）","全国","2018年12月","","166","537"
"金額","二人以上の世帯（2000年～）","全国","2019年1月","","149","494"
"金額","二人以上の世帯（2000年～）","全国","2019年2月","","168","423"
"金額","二人以上の世帯（2000年～）","全国","2019年3月","","180","542"
"金額","二人以上の世帯（2000年～）","全国","2019年4月","","140","667"
"金額","二人以上の世帯（2000年～）","全国","2019年5月","","125","1000"
"金額","二人以上の世帯（2000年～）","全国","2019年6月","","119","991"
"金額","二人以上の世帯（2000年～）","全国","2019年7月","","112","1236"
"金額","二人以上の世帯（2000年～）","全国","2019年8月","","103","1513"
"金額","二人以上の世帯（2000年～）","全国","2019年9月","","126","996"
"金額","二人以上の世帯（2000年～）","全国","2019年10月","","154","724"
"金額","二人以上の世帯（2000年～）","全国","2019年11月","","170","531"
"金額","二人以上の世帯（2000年～）","全国","2019年12月","","182","584"
"金額","二人以上の世帯（2000年～）","全国","2020年1月","","156","510"
"金額","二人以上の世帯（2000年～）","全国","2020年2月","","190","482"
"金額","二人以上の世帯（2000年～）","全国","2020年3月","","177","610"
"金額","二人以上の世帯（2000年～）","全国","2020年4月","","165","689"
"金額","二人以上の世帯（2000年～）","全国","2020年5月","","155","1040"
"金額","二人以上の世帯（2000年～）","全国","2020年6月","","123","1123"
"金額","二人以上の世帯（2000年～）","全国","2020年7月","","133","1155"
"金額","二人以上の世帯（2000年～）","全国","2020年8月","","111","1658"
"金額","二人以上の世帯（2000年～）","全国","2020年9月","","160","1025"
"金額","二人以上の世帯（2000年～）","全国","2020年10月","","186","649"
"金額","二人以上の世帯（2000年～）","全国","2020年11月","","189","573"
"金額","二人以上の世帯（2000年～）","全国","2020年12月","","234","599"
